id,timestamp_utc,source_id,bess_id,quality,anomaly_score,health_state,anomaly_reason,pcs_phase_voltage_imbalance,pcs_phase_current_imbalance,pcs_dc_voltage_vs_bms_voltage_delta,pcs_dc_current_vs_bms_current_delta,pcs_soc_vs_bms_soc_delta,bms_temperature_spread,bms_cell_voltage_spread,pcs_phase_a_voltage,pcs_phase_b_voltage,pcs_phase_c_voltage,pcs_phase_a_current,pcs_phase_b_current,pcs_phase_c_current,pcs_dc_voltage,pcs_dc_current,pcs_grid_frequency,pcs_charge_discharge_power,pcs_total_active_power,pcs_soc,bms_cluster_total_voltage,bms_cluster_total_current,bms_can_hall_sampling_current,bms_display_soc,bms_soh,bms_cell_max_voltage,bms_cell_min_voltage,bms_battery_max_temperature,bms_battery_min_temperature,bms_average_temperature,bms_insulation_resistance,bms_pre_charge_total_voltage,pcs_fault_flag_count,bms_fault_flag_count,anomaly_score_ml,ml_predicted_anomaly
632829,2026-08-14T05:23:00.618654+00:00,external_ems_1,bess_1,good,0.3801,warning,PCS phase current imbalance high: 24.0,1.2,24.0,3.3,1.8,0.0,1.9,5.0,237.3,236.1,236.9,76.4,89.1,65.1,877.3,-52.6,50.37,0.0,-85.1,93.9,880.6,-54.4,-54.5,93.9,100.0,3406.0,3401.0,26.7,24.8,25.2,20000.0,855.9,0,0,0.7200011256499759,True
632835,2026-08-14T05:23:03.618584+00:00,external_ems_1,bess_1,good,0.3801,warning,PCS phase current imbalance high: 24.0,1.2,24.0,3.3,1.8,0.0,1.9,5.0,237.3,236.1,236.9,76.4,89.1,65.1,877.3,-52.6,50.37,0.0,-85.1,93.9,880.6,-54.4,-54.6,93.9,100.0,3406.0,3401.0,26.7,24.8,25.2,20000.0,855.9,0,0,0.7200011256499759,True
632831,2026-08-14T05:23:01.618577+00:00,external_ems_1,bess_1,good,0.3801,warning,PCS phase current imbalance high: 24.0,1.2,24.0,3.3,1.8,0.0,1.9,5.0,237.3,236.1,236.9,76.4,89.1,65.1,877.3,-52.6,50.37,0.0,-85.1,93.9,880.6,-54.4,-54.6,93.9,100.0,3406.0,3401.0,26.7,24.8,25.2,20000.0,855.9,0,0,0.7200011256499759,True
632833,2026-08-14T05:23:02.628898+00:00,external_ems_1,bess_1,good,0.3801,warning,PCS phase current imbalance high: 24.0,1.2,24.0,3.3,1.8,0.0,1.9,5.0,237.3,236.1,236.9,76.4,89.1,65.1,877.3,-52.6,50.37,0.0,-85.1,93.9,880.6,-54.4,-54.6,93.9,100.0,3406.0,3401.0,26.7,24.8,25.2,20000.0,855.9,0,0,0.7200011256499759,True
632827,2026-08-14T05:22:59.619229+00:00,external_ems_1,bess_1,good,0.3801,warning,PCS phase current imbalance high: 24.0,1.2,24.0,3.3,7.8,0.0,1.9,4.0,237.3,236.1,236.9,76.4,89.1,65.1,877.3,-52.6,50.37,0.0,-85.1,93.9,880.6,-60.4,-54.5,93.9,100.0,3403.0,3399.0,26.7,24.8,25.2,20000.0,855.9,0,0,0.7196720047425168,True
629825,2026-08-14T04:57:58.629680+00:00,external_ems_1,bess_1,good,0.4121,warning,PCS phase current imbalance high: 16.4; PCS DC current and BMS current mismatch: 44.9,0.2,16.4,2.8,44.9,0.0,1.8,4.0,238.0,237.8,237.9,101.8,92.5,108.9,880.3,-4.7,50.35,0.0,-51.7,89.6,877.5,-49.6,-46.7,89.6,100.0,3395.0,3391.0,26.6,24.8,25.2,20000.0,855.9,0,0,0.7054739773376674,True
629827,2026-08-14T04:57:59.619089+00:00,external_ems_1,bess_1,good,0.4121,warning,PCS phase current imbalance high: 16.4; PCS DC current and BMS current mismatch: 44.9,0.2,16.4,2.8,44.9,0.0,1.8,4.0,238.0,237.8,237.9,101.8,92.5,108.9,880.3,-4.7,50.35,0.0,-51.7,89.6,877.5,-49.6,-46.7,89.6,100.0,3395.0,3391.0,26.6,24.8,25.2,20000.0,855.9,0,0,0.7054739773376674,True
632261,2026-08-14T05:18:16.619452+00:00,external_ems_1,bess_1,good,0.3889,warning,PCS phase current imbalance high: 23.5; PCS DC current and BMS current mismatch: 40.0,1.7,23.5,3.1,40.0,0.0,1.9,3.0,239.9,238.2,239.7,43.5,20.0,41.0,876.8,-20.3,50.32,0.0,-66.2,93.2,879.9,-60.3,-52.8,93.2,100.0,3381.0,3378.0,26.7,24.8,25.2,20000.0,855.9,0,0,0.7053107175616505,True
632263,2026-08-14T05:18:17.618709+00:00,external_ems_1,bess_1,good,0.3889,warning,PCS phase current imbalance high: 23.5; PCS DC current and BMS current mismatch: 40.0,1.7,23.5,3.1,40.0,0.0,1.9,3.0,239.9,238.2,239.7,43.5,20.0,41.0,876.8,-20.3,50.32,0.0,-66.2,93.2,879.9,-60.3,-52.8,93.2,100.0,3381.0,3378.0,26.7,24.8,25.2,20000.0,855.9,0,0,0.7053107175616505,True
632269,2026-08-14T05:18:20.618749+00:00,external_ems_1,bess_1,good,0.3889,warning,PCS phase current imbalance high: 23.5; PCS DC current and BMS current mismatch: 40.0,1.7,23.5,3.1,40.0,0.0,1.9,3.0,239.9,238.2,239.7,43.5,20.0,41.0,876.8,-20.3,50.32,0.0,-66.2,93.2,879.9,-60.3,-52.8,93.2,100.0,3381.0,3378.0,26.7,24.8,25.2,20000.0,855.9,0,0,0.7053107175616505,True
