event_id,source_id,bess_id,dominant_state,start_utc,end_utc,duration_sec,row_count,max_score,top_categories,top_reason,max_pcs_phase_voltage_imbalance,max_pcs_phase_current_imbalance,max_pcs_dc_current_vs_bms_current_delta,max_pcs_dc_voltage_vs_bms_voltage_delta,max_bms_cell_voltage_spread,max_bms_temperature_spread,max_pcs_fault_flag_count,max_bms_fault_flag_count
469,external_ems_2,bess_2,warning,2026-08-18T09:09:17.629490+00:00,2026-08-18T09:09:18.619238+00:00,0.99,2,0.5113,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 5.9; PCS DC current and BMS current mismatch: 51.5,1.0,1.7,51.5,5.9,3.0,1.8,0.0,0.0
470,external_ems_2,bess_2,warning,2026-08-18T09:11:12.629267+00:00,2026-08-18T09:11:17.619188+00:00,4.99,6,0.6545,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC current and BMS current mismatch: 43.0,0.7,1.8,66.0,6.9,2.0,1.8,0.0,0.0
471,external_ems_2,bess_2,warning,2026-08-18T09:13:10.618586+00:00,2026-08-18T09:13:16.628975+00:00,6.01,7,0.6524,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 6.6; PCS DC current and BMS current mismatch: 70.1,0.5,0.5,70.1,6.6,4.0,1.8,0.0,0.0
472,external_ems_2,bess_2,warning,2026-08-18T09:15:11.618573+00:00,2026-08-18T09:15:12.630203+00:00,1.012,2,0.6628,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 8.1; PCS DC current and BMS current mismatch: 74.4,5.0,6.0,74.4,8.1,4.0,1.8,0.0,0.0
473,external_ems_2,bess_2,warning,2026-08-18T09:17:05.629759+00:00,2026-08-18T09:17:12.619289+00:00,6.99,3,0.66,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 7.7; PCS DC current and BMS current mismatch: 67.1,1.9,4.1,67.1,7.7,5.0,1.8,0.0,0.0
474,external_ems_2,bess_2,warning,2026-08-18T09:19:04.628669+00:00,2026-08-18T09:19:11.618560+00:00,6.99,4,0.4874,pcs_bms_current_mismatch,PCS DC current and BMS current mismatch: 44.8,2.6,3.9,50.4,4.2,5.0,1.8,0.0,0.0
475,external_ems_2,bess_2,warning,2026-08-18T09:23:03.618607+00:00,2026-08-18T09:23:09.619186+00:00,6.001,7,0.5972,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 5.1; PCS DC current and BMS current mismatch: 49.0,0.6,0.1,56.6,6.5,7.0,1.8,0.0,0.0
476,external_ems_2,bess_2,warning,2026-08-18T09:24:59.628945+00:00,2026-08-18T09:25:02.628909+00:00,3.0,4,0.3842,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 5.6; PCS DC current and BMS current mismatch: 43.7,0.8,1.6,43.7,5.6,8.0,1.8,0.0,0.0
477,external_ems_2,bess_2,warning,2026-08-18T09:32:51.618565+00:00,2026-08-18T09:32:52.630548+00:00,1.012,2,0.6572,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 7.3; PCS DC current and BMS current mismatch: 76.1,2.7,5.4,76.1,7.3,1.0,1.8,0.0,0.0
478,external_ems_2,bess_2,warning,2026-08-18T09:34:45.628865+00:00,2026-08-18T09:34:51.618578+00:00,5.99,7,0.6531,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 5.7; PCS DC current and BMS current mismatch: 62.1,1.0,3.6,65.6,6.7,2.0,1.9,0.0,0.0
479,external_ems_2,bess_2,warning,2026-08-18T09:36:41.618620+00:00,2026-08-18T09:36:53.619026+00:00,12.0,6,0.6683,pcs_bms_current_mismatch;pcs_bms_voltage_mismatch,PCS DC voltage and BMS voltage mismatch: 5.9; PCS DC current and BMS current mismatch: 53.1,0.6,1.8,71.8,8.9,2.0,2.0,0.0,0.0
